address,city,state_zip,time_recorded
411 DIVISION ST, PLEASANTON, CA 94566,2019-02-17 03:28:53.974856
3127 HALF DOME, PLEASANTON, CA 94566,2019-02-17 03:34:04.450853
3645 VIRGIN ISLANDS CT, PLEASANTON, CA 94588,2019-02-17 03:34:04.451141
1116 LAGUNA CREEK LN, PLEASANTON, CA 94566,2019-02-17 03:34:04.452291
4326 CAMPINIA PL, PLEASANTON, CA 94566,2019-02-17 03:34:04.452645
6248 ROSLIN CT, PLEASANTON, CA 94588,2019-02-17 03:34:04.452821
3537 GULFSTREAM ST, PLEASANTON, CA 94588,2019-02-17 03:34:04.452986
3053 FERNDALE COURT, PLEASANTON, CA 94588,2019-02-17 03:34:04.453147
7826 LA QUINTA CT, PLEASANTON, CA 94588,2019-02-17 03:34:04.453305
3834 PINOT CT, PLEASANTON, CA 94566,2019-02-17 03:34:04.453460
2345 E RUBY HILL DR, PLEASANTON, CA 94566,2019-02-17 03:34:04.453598
2113 ARROYO CT #1, PLEASANTON, CA 94588,2019-02-17 03:34:04.453733
6913 CORTE MATEO, PLEASANTON, CA 94566,2019-02-17 03:34:04.453868
3902 MOUNT MCKINLEY COURT, PLEASANTON, CA 94588,2019-02-17 03:34:04.454003
29 COLBY CT, PLEASANTON, CA 94566,2019-02-17 03:34:04.454140
549 TAWNY DR, PLEASANTON, CA 94566,2019-02-17 03:34:04.454274
7650 CANYON MEADOW CIR #F, PLEASANTON, CA 94588,2019-02-17 03:34:04.454410
2421 VIA ESPADA, PLEASANTON, CA 94566,2019-02-17 03:34:04.454544
1127 DONAHUE DR, PLEASANTON, CA 94566,2019-02-17 03:34:04.454680
3782 VINE ST, PLEASANTON, CA 94566,2019-02-17 03:34:04.454814
3368 SMOKETREE COMMONS DR, PLEASANTON, CA 94566,2019-02-17 03:34:04.454949
2371 MEADOWLARK DR, PLEASANTON, CA 94566,2019-02-17 03:34:04.455083
641 VARESE CT, PLEASANTON, CA 94566,2019-02-17 03:34:04.455217
520 BuNKER LN, PLEASANTON, CA 94566,2019-02-17 03:34:04.455353
3824 NEWTON WAY, PLEASANTON, CA 94588,2019-02-17 03:34:04.455487
1666 CALLE SANTA ANNA, PLEASANTON, CA 94566,2019-02-17 03:34:04.455621
2996 W RuBY HILL DR, PLEASANTON, CA 94566,2019-02-17 03:34:04.455755
3973 W LAS POSITAS BLVD, PLEASANTON, CA 94588,2019-02-17 03:34:04.455890
847 DIVISION ST #D, PLEASANTON, CA 94566,2019-02-17 03:34:04.456024
4120 CASTERSON CT, PLEASANTON, CA 94566,2019-02-17 03:34:04.456157
